var,all_models_p_05,all_models_coef_pos_05,all_models_coef_neg_05,all_models_coef_min_05,all_models_coef_max_05,all_models_p_01,all_models_coef_pos_01,all_models_coef_neg_01,all_models_coef_min_01,all_models_coef_max_01,Y_models_p_05,Y_models_coef_pos_05,Y_models_coef_neg_05,Y_models_coef_min_05,Y_models_coef_max_05,Y_models_p_01,Y_models_coef_pos_01,Y_models_coef_neg_01,Y_models_coef_min_01,Y_models_coef_max_01,Q_models_p_05,Q_models_coef_pos_05,Q_models_coef_neg_05,Q_models_coef_min_05,Q_models_coef_max_05,Q_models_p_01,Q_models_coef_pos_01,Q_models_coef_neg_01,Q_models_coef_min_01,Q_models_coef_max_01,B_models_p_05,B_models_coef_pos_05,B_models_coef_neg_05,B_models_coef_min_05,B_models_coef_max_05,B_models_p_01,B_models_coef_pos_01,B_models_coef_neg_01,B_models_coef_min_01,B_models_coef_max_01,C_models_p_05,C_models_coef_pos_05,C_models_coef_neg_05,C_models_coef_min_05,C_models_coef_max_05,C_models_p_01,C_models_coef_pos_01,C_models_coef_neg_01,C_models_coef_min_01,C_models_coef_max_01,V_models_p_05,V_models_coef_pos_05,V_models_coef_neg_05,V_models_coef_min_05,V_models_coef_max_05,V_models_p_01,V_models_coef_pos_01,V_models_coef_neg_01,V_models_coef_min_01,V_models_coef_max_01,SSV_models_p_05,SSV_models_coef_pos_05,SSV_models_coef_neg_05,SSV_models_coef_min_05,SSV_models_coef_max_05,SSV_models_p_01,SSV_models_coef_pos_01,SSV_models_coef_neg_01,SSV_models_coef_min_01,SSV_models_coef_max_01,PP_models_p_05,PP_models_coef_pos_05,PP_models_coef_neg_05,PP_models_coef_min_05,PP_models_coef_max_05,PP_models_p_01,PP_models_coef_pos_01,PP_models_coef_neg_01,PP_models_coef_min_01,PP_models_coef_max_01,l1_models_p_05,l1_models_coef_pos_05,l1_models_coef_neg_05,l1_models_coef_min_05,l1_models_coef_max_05,l1_models_p_01,l1_models_coef_pos_01,l1_models_coef_neg_01,l1_models_coef_min_01,l1_models_coef_max_01,l2_models_p_05,l2_models_coef_pos_05,l2_models_coef_neg_05,l2_models_coef_min_05,l2_models_coef_max_05,l2_models_p_01,l2_models_coef_pos_01,l2_models_coef_neg_01,l2_models_coef_min_01,l2_models_coef_max_01,l3_models_p_05,l3_models_coef_pos_05,l3_models_coef_neg_05,l3_models_coef_min_05,l3_models_coef_max_05,l3_models_p_01,l3_models_coef_pos_01,l3_models_coef_neg_01,l3_models_coef_min_01,l3_models_coef_max_01,l4_models_p_05,l4_models_coef_pos_05,l4_models_coef_neg_05,l4_models_coef_min_05,l4_models_coef_max_05,l4_models_p_01,l4_models_coef_pos_01,l4_models_coef_neg_01,l4_models_coef_min_01,l4_models_coef_max_01
sp48_11,3,3,0,1.008516,1.475565,1,1,0,1.314144,1.314144,2,2,0,1.008516,1.314144,1,1,0,1.314144,1.314144,1,1,0,1.475565,1.475565,0,0,0,NA,NA,3,3,0,1.008516,1.475565,1,1,0,1.314144,1.314144,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.314144,1.314144,1,1,0,1.314144,1.314144,1,1,0,1.475565,1.475565,0,0,0,NA,NA,1,1,0,1.008516,1.008516,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,3,3,0,1.008516,1.475565,1,1,0,1.314144,1.314144,0,0,0,NA,NA,0,0,0,NA,NA
sp48_24,12,10,2,0.9377458,1.273026,12,10,2,0.9377458,1.273026,6,6,0,1.000513,1.108397,6,6,0,1.000513,1.108397,6,4,2,0.9377458,1.273026,6,4,2,0.9377458,1.273026,2,2,0,1.003538,1.273026,2,2,0,1.003538,1.273026,10,8,2,0.9377458,1.11084,10,8,2,0.9377458,1.11084,6,5,1,0.9377458,1.273026,6,5,1,0.9377458,1.273026,0,0,0,NA,NA,0,0,0,NA,NA,6,5,1,0.9990858,1.003538,6,5,1,0.9990858,1.003538,4,2,2,0.9377458,1.107367,4,2,2,0.9377458,1.107367,4,4,0,1.001501,1.11084,4,4,0,1.001501,1.11084,4,4,0,1.000513,1.273026,4,4,0,1.000513,1.273026,0,0,0,NA,NA,0,0,0,NA,NA
sp48_25,7,0,7,0.8462388,0.9992751,6,0,6,0.8564563,0.9992751,3,0,3,0.9629418,0.9992751,3,0,3,0.9629418,0.9992751,4,0,4,0.8462388,0.9973018,3,0,3,0.8564563,0.9973018,0,0,0,NA,NA,0,0,0,NA,NA,7,0,7,0.8462388,0.9992751,6,0,6,0.8564563,0.9992751,2,0,2,0.8831346,0.9694728,2,0,2,0.8831346,0.9694728,3,0,3,0.8462388,0.9629418,2,0,2,0.8564563,0.9629418,2,0,2,0.9973018,0.9992751,2,0,2,0.9973018,0.9992751,1,0,1,0.8462388,0.8462388,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,6,0,6,0.8564563,0.9992751,6,0,6,0.8564563,0.9992751
sp48_26,12,11,1,0.9980835,1.248783,2,2,0,1.000754,1.040619,6,5,1,0.9980835,1.093545,2,2,0,1.000754,1.040619,6,6,0,1.001487,1.248783,0,0,0,NA,NA,2,1,1,0.9980835,1.248783,0,0,0,NA,NA,10,10,0,1.000754,1.211762,2,2,0,1.000754,1.040619,3,3,0,1.040619,1.093545,1,1,0,1.040619,1.040619,4,4,0,1.121498,1.248783,0,0,0,NA,NA,5,4,1,0.9980835,1.001637,1,1,0,1.000754,1.000754,3,3,0,1.001566,1.211762,0,0,0,NA,NA,1,1,0,1.001637,1.001637,0,0,0,NA,NA,5,5,0,1.000754,1.121498,2,2,0,1.000754,1.040619,3,2,1,0.9980835,1.248783,0,0,0,NA,NA
sp48_27,1,1,0,1.025096,1.025096,0,0,0,NA,NA,1,1,0,1.025096,1.025096,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.025096,1.025096,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.025096,1.025096,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.025096,1.025096,0,0,0,NA,NA
sp48_28,6,0,6,0.965465,0.9993773,1,0,1,0.9973686,0.9973686,4,0,4,0.965465,0.9993773,0,0,0,NA,NA,2,0,2,0.9973686,0.9983849,1,0,1,0.9973686,0.9973686,0,0,0,NA,NA,0,0,0,NA,NA,6,0,6,0.965465,0.9993773,1,0,1,0.9973686,0.9973686,1,0,1,0.9865191,0.9865191,0,0,0,NA,NA,1,0,1,0.965465,0.965465,0,0,0,NA,NA,4,0,4,0.9973686,0.9993773,1,0,1,0.9973686,0.9973686,1,0,1,0.9977116,0.9977116,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,0,2,0.9973686,0.9993773,1,0,1,0.9973686,0.9973686,3,0,3,0.965465,0.9983849,0,0,0,NA,NA
sp48_4,10,5,5,1.08e-08,2.177961,8,3,5,1.08e-08,2.177961,4,4,0,1.002472,2.177961,3,3,0,1.010372,2.177961,6,1,5,1.08e-08,1.003816,5,0,5,1.08e-08,0.9955434,0,0,0,NA,NA,0,0,0,NA,NA,10,5,5,1.08e-08,2.177961,8,3,5,1.08e-08,2.177961,3,1,2,1.08e-08,2.177961,3,1,2,1.08e-08,2.177961,2,1,1,0.504913,1.637673,2,1,1,0.504913,1.637673,5,3,2,0.993559,1.010372,3,1,2,0.993559,1.010372,3,0,3,0.468476,0.993559,3,0,3,0.468476,0.993559,4,3,1,0.9955434,2.177961,4,3,1,0.9955434,2.177961,2,2,0,1.002472,1.003816,0,0,0,NA,NA,1,0,1,1.08e-08,1.08e-08,1,0,1,1.08e-08,1.08e-08
sp48_5,2,2,0,1.218253,1.3716,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.218253,1.3716,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.218253,1.3716,0,0,0,NA,NA,1,1,0,1.218253,1.218253,0,0,0,NA,NA,1,1,0,1.3716,1.3716,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.218253,1.3716,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp48_6,3,0,3,0.5260277,0.7378662,0,0,0,NA,NA,1,0,1,0.5260277,0.5260277,0,0,0,NA,NA,2,0,2,0.6013791,0.7378662,0,0,0,NA,NA,3,0,3,0.5260277,0.7378662,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,3,0,3,0.5260277,0.7378662,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.5260277,0.5260277,0,0,0,NA,NA,1,0,1,0.6013791,0.6013791,0,0,0,NA,NA,1,0,1,0.7378662,0.7378662,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp48_7,11,7,4,0.9396033,2.697076,5,4,1,0.9967113,2.697076,5,2,3,0.9822937,2.697076,2,1,1,0.9967113,2.697076,6,5,1,0.9396033,2.061874,3,3,0,1.008152,2.061874,8,7,1,0.9967113,2.697076,5,4,1,0.9967113,2.697076,3,0,3,0.9396033,0.999733,0,0,0,NA,NA,5,3,2,0.9396033,2.697076,2,2,0,1.975571,2.697076,1,1,0,2.061874,2.061874,1,1,0,2.061874,2.061874,5,3,2,0.9967113,1.011351,2,1,1,0.9967113,1.008152,5,5,0,1.008152,2.697076,4,4,0,1.008152,2.697076,1,1,0,1.52994,1.52994,0,0,0,NA,NA,1,1,0,1.003794,1.003794,0,0,0,NA,NA,4,0,4,0.9396033,0.999733,1,0,1,0.9967113,0.9967113
