var,all_models_p_05,all_models_coef_pos_05,all_models_coef_neg_05,all_models_coef_min_05,all_models_coef_max_05,all_models_p_01,all_models_coef_pos_01,all_models_coef_neg_01,all_models_coef_min_01,all_models_coef_max_01,Y_models_p_05,Y_models_coef_pos_05,Y_models_coef_neg_05,Y_models_coef_min_05,Y_models_coef_max_05,Y_models_p_01,Y_models_coef_pos_01,Y_models_coef_neg_01,Y_models_coef_min_01,Y_models_coef_max_01,B_models_p_05,B_models_coef_pos_05,B_models_coef_neg_05,B_models_coef_min_05,B_models_coef_max_05,B_models_p_01,B_models_coef_pos_01,B_models_coef_neg_01,B_models_coef_min_01,B_models_coef_max_01,C_models_p_05,C_models_coef_pos_05,C_models_coef_neg_05,C_models_coef_min_05,C_models_coef_max_05,C_models_p_01,C_models_coef_pos_01,C_models_coef_neg_01,C_models_coef_min_01,C_models_coef_max_01,V_models_p_05,V_models_coef_pos_05,V_models_coef_neg_05,V_models_coef_min_05,V_models_coef_max_05,V_models_p_01,V_models_coef_pos_01,V_models_coef_neg_01,V_models_coef_min_01,V_models_coef_max_01,SSV_models_p_05,SSV_models_coef_pos_05,SSV_models_coef_neg_05,SSV_models_coef_min_05,SSV_models_coef_max_05,SSV_models_p_01,SSV_models_coef_pos_01,SSV_models_coef_neg_01,SSV_models_coef_min_01,SSV_models_coef_max_01,PP_models_p_05,PP_models_coef_pos_05,PP_models_coef_neg_05,PP_models_coef_min_05,PP_models_coef_max_05,PP_models_p_01,PP_models_coef_pos_01,PP_models_coef_neg_01,PP_models_coef_min_01,PP_models_coef_max_01,l1_models_p_05,l1_models_coef_pos_05,l1_models_coef_neg_05,l1_models_coef_min_05,l1_models_coef_max_05,l1_models_p_01,l1_models_coef_pos_01,l1_models_coef_neg_01,l1_models_coef_min_01,l1_models_coef_max_01,l2_models_p_05,l2_models_coef_pos_05,l2_models_coef_neg_05,l2_models_coef_min_05,l2_models_coef_max_05,l2_models_p_01,l2_models_coef_pos_01,l2_models_coef_neg_01,l2_models_coef_min_01,l2_models_coef_max_01,l3_models_p_05,l3_models_coef_pos_05,l3_models_coef_neg_05,l3_models_coef_min_05,l3_models_coef_max_05,l3_models_p_01,l3_models_coef_pos_01,l3_models_coef_neg_01,l3_models_coef_min_01,l3_models_coef_max_01
sp77_1104,2,2,0,1.008078,1.035295,1,1,0,1.035295,1.035295,2,2,0,1.008078,1.035295,1,1,0,1.035295,1.035295,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.008078,1.035295,1,1,0,1.035295,1.035295,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.008078,1.035295,1,1,0,1.035295,1.035295,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.035295,1.035295,1,1,0,1.035295,1.035295,1,1,0,1.008078,1.008078,0,0,0,NA,NA
sp77_1106,3,0,3,3.69e-11,0.0030008,3,0,3,3.69e-11,0.0030008,3,0,3,3.69e-11,0.0030008,3,0,3,3.69e-11,0.0030008,0,0,0,NA,NA,0,0,0,NA,NA,3,0,3,3.69e-11,0.0030008,3,0,3,3.69e-11,0.0030008,0,0,0,NA,NA,0,0,0,NA,NA,3,0,3,3.69e-11,0.0030008,3,0,3,3.69e-11,0.0030008,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,1.4e-10,1.4e-10,1,0,1,1.4e-10,1.4e-10,1,0,1,3.69e-11,3.69e-11,1,0,1,3.69e-11,3.69e-11,1,0,1,0.0030008,0.0030008,1,0,1,0.0030008,0.0030008
sp77_1111,3,0,3,0.0961951,0.4621638,2,0,2,0.0961951,0.4621638,3,0,3,0.0961951,0.4621638,2,0,2,0.0961951,0.4621638,2,0,2,0.0961951,0.1880613,1,0,1,0.0961951,0.0961951,1,0,1,0.4621638,0.4621638,1,0,1,0.4621638,0.4621638,2,0,2,0.0961951,0.1880613,1,0,1,0.0961951,0.0961951,1,0,1,0.4621638,0.4621638,1,0,1,0.4621638,0.4621638,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.1880613,0.1880613,0,0,0,NA,NA,2,0,2,0.0961951,0.4621638,2,0,2,0.0961951,0.4621638,0,0,0,NA,NA,0,0,0,NA,NA
sp77_1112,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_1403,1,1,0,1.002608,1.002608,0,0,0,NA,NA,1,1,0,1.002608,1.002608,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.002608,1.002608,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.002608,1.002608,0,0,0,NA,NA,1,1,0,1.002608,1.002608,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_1432,1,1,0,1.009727,1.009727,1,1,0,1.009727,1.009727,1,1,0,1.009727,1.009727,1,1,0,1.009727,1.009727,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.009727,1.009727,1,1,0,1.009727,1.009727,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.009727,1.009727,1,1,0,1.009727,1.009727,1,1,0,1.009727,1.009727,1,1,0,1.009727,1.009727,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_1433,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_1434,1,1,0,1.005467,1.005467,0,0,0,NA,NA,1,1,0,1.005467,1.005467,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.005467,1.005467,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.005467,1.005467,0,0,0,NA,NA,1,1,0,1.005467,1.005467,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_1437,5,0,5,0.0507332,0.9122604,4,0,4,0.0507332,0.9122604,5,0,5,0.0507332,0.9122604,4,0,4,0.0507332,0.9122604,3,0,3,0.0507332,0.4777278,3,0,3,0.0507332,0.4777278,2,0,2,0.6548642,0.9122604,1,0,1,0.9122604,0.9122604,1,0,1,0.9122604,0.9122604,1,0,1,0.9122604,0.9122604,4,0,4,0.0507332,0.6548642,3,0,3,0.0507332,0.4777278,0,0,0,NA,NA,0,0,0,NA,NA,2,0,2,0.0507332,0.6548642,1,0,1,0.0507332,0.0507332,1,0,1,0.0518719,0.0518719,1,0,1,0.0518719,0.0518719,2,0,2,0.4777278,0.9122604,2,0,2,0.4777278,0.9122604
sp77_1438,5,0,5,0.1534795,0.9899449,2,0,2,0.2288056,0.9423397,5,0,5,0.1534795,0.9899449,2,0,2,0.2288056,0.9423397,0,0,0,NA,NA,0,0,0,NA,NA,5,0,5,0.1534795,0.9899449,2,0,2,0.2288056,0.9423397,2,0,2,0.2288056,0.7322308,1,0,1,0.2288056,0.2288056,1,0,1,0.1534795,0.1534795,0,0,0,NA,NA,2,0,2,0.9423397,0.9899449,1,0,1,0.9423397,0.9423397,3,0,3,0.1534795,0.9423397,2,0,2,0.2288056,0.9423397,0,0,0,NA,NA,0,0,0,NA,NA,2,0,2,0.7322308,0.9899449,0,0,0,NA,NA
sp77_1605,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_1606,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_1710,3,0,3,0.9292529,0.9484503,2,0,2,0.9292529,0.9459546,3,0,3,0.9292529,0.9484503,2,0,2,0.9292529,0.9459546,0,0,0,NA,NA,0,0,0,NA,NA,3,0,3,0.9292529,0.9484503,2,0,2,0.9292529,0.9459546,1,0,1,0.9459546,0.9459546,1,0,1,0.9459546,0.9459546,2,0,2,0.9292529,0.9484503,1,0,1,0.9292529,0.9292529,0,0,0,NA,NA,0,0,0,NA,NA,2,0,2,0.9292529,0.9459546,2,0,2,0.9292529,0.9459546,1,0,1,0.9484503,0.9484503,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_1802,2,1,1,0.680489,1.081197,2,1,1,0.680489,1.081197,2,1,1,0.680489,1.081197,2,1,1,0.680489,1.081197,0,0,0,NA,NA,0,0,0,NA,NA,2,1,1,0.680489,1.081197,2,1,1,0.680489,1.081197,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,1,1,0.680489,1.081197,2,1,1,0.680489,1.081197,1,1,0,1.081197,1.081197,1,1,0,1.081197,1.081197,1,0,1,0.680489,0.680489,1,0,1,0.680489,0.680489,0,0,0,NA,NA,0,0,0,NA,NA
sp77_1906,1,1,0,1.009683,1.009683,0,0,0,NA,NA,1,1,0,1.009683,1.009683,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.009683,1.009683,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.009683,1.009683,0,0,0,NA,NA,1,1,0,1.009683,1.009683,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_1915,1,1,0,2.825186,2.825186,1,1,0,2.825186,2.825186,1,1,0,2.825186,2.825186,1,1,0,2.825186,2.825186,1,1,0,2.825186,2.825186,1,1,0,2.825186,2.825186,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,2.825186,2.825186,1,1,0,2.825186,2.825186,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,2.825186,2.825186,1,1,0,2.825186,2.825186
sp77_1916,2,2,0,1.004953,1.277215,0,0,0,NA,NA,2,2,0,1.004953,1.277215,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.004953,1.277215,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.277215,1.277215,0,0,0,NA,NA,1,1,0,1.004953,1.004953,0,0,0,NA,NA,1,1,0,1.004953,1.004953,0,0,0,NA,NA,1,1,0,1.277215,1.277215,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_200,1,0,1,0.811596,0.811596,0,0,0,NA,NA,1,0,1,0.811596,0.811596,0,0,0,NA,NA,1,0,1,0.811596,0.811596,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.811596,0.811596,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.811596,0.811596,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_202,14,0,14,0.5432684,0.9987115,11,0,11,0.5432684,0.9976834,14,0,14,0.5432684,0.9987115,11,0,11,0.5432684,0.9976834,9,0,9,0.5432684,0.9976834,9,0,9,0.5432684,0.9976834,5,0,5,0.9276522,0.9987115,2,0,2,0.9276522,0.9754532,5,0,5,0.7645383,0.9899923,3,0,3,0.7645383,0.9207948,5,0,5,0.5432684,0.9754532,5,0,5,0.5432684,0.9754532,4,0,4,0.9939531,0.9987115,3,0,3,0.9939531,0.9976834,5,0,5,0.6281067,0.9987115,3,0,3,0.6281067,0.9941602,4,0,4,0.5432684,0.9939531,4,0,4,0.5432684,0.9939531,5,0,5,0.8069144,0.9976834,4,0,4,0.8069144,0.9976834
sp77_203,3,1,2,0.1235636,1.00435,0,0,0,NA,NA,3,1,2,0.1235636,1.00435,0,0,0,NA,NA,2,0,2,0.1235636,0.1382363,0,0,0,NA,NA,1,1,0,1.00435,1.00435,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,0,2,0.1235636,0.1382363,0,0,0,NA,NA,1,1,0,1.00435,1.00435,0,0,0,NA,NA,2,1,1,0.1235636,1.00435,0,0,0,NA,NA,1,0,1,0.1382363,0.1382363,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_204,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_205,5,5,0,1.000386,1.001819,1,1,0,1.000459,1.000459,5,5,0,1.000386,1.001819,1,1,0,1.000459,1.000459,3,3,0,1.000696,1.001819,0,0,0,NA,NA,2,2,0,1.000386,1.000459,1,1,0,1.000459,1.000459,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,5,5,0,1.000386,1.001819,1,1,0,1.000459,1.000459,2,2,0,1.000386,1.001669,0,0,0,NA,NA,2,2,0,1.000459,1.001819,1,1,0,1.000459,1.000459,1,1,0,1.000696,1.000696,0,0,0,NA,NA
sp77_206,1,1,0,1.001918,1.001918,0,0,0,NA,NA,1,1,0,1.001918,1.001918,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.001918,1.001918,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.001918,1.001918,0,0,0,NA,NA,1,1,0,1.001918,1.001918,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_207,5,5,0,1.057625,1.163075,3,3,0,1.057625,1.163075,5,5,0,1.057625,1.163075,3,3,0,1.057625,1.163075,1,1,0,1.139276,1.139276,0,0,0,NA,NA,4,4,0,1.057625,1.163075,3,3,0,1.057625,1.163075,1,1,0,1.076764,1.076764,1,1,0,1.076764,1.076764,4,4,0,1.057625,1.163075,2,2,0,1.057625,1.163075,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.076764,1.163075,2,2,0,1.076764,1.163075,1,1,0,1.153389,1.153389,0,0,0,NA,NA,2,2,0,1.057625,1.139276,1,1,0,1.057625,1.057625
sp77_208,5,5,0,1.000693,1.160886,1,1,0,1.003729,1.003729,5,5,0,1.000693,1.160886,1,1,0,1.003729,1.003729,3,3,0,1.003729,1.160886,1,1,0,1.003729,1.003729,2,2,0,1.000693,1.07702,0,0,0,NA,NA,2,2,0,1.143924,1.160886,0,0,0,NA,NA,1,1,0,1.07702,1.07702,0,0,0,NA,NA,2,2,0,1.000693,1.003729,1,1,0,1.003729,1.003729,4,4,0,1.000693,1.160886,1,1,0,1.003729,1.003729,1,1,0,1.143924,1.143924,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_210,2,2,0,1.868622,2.978524,1,1,0,1.868622,1.868622,2,2,0,1.868622,2.978524,1,1,0,1.868622,1.868622,2,2,0,1.868622,2.978524,1,1,0,1.868622,1.868622,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.868622,2.978524,1,1,0,1.868622,1.868622,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,2.978524,2.978524,0,0,0,NA,NA,1,1,0,1.868622,1.868622,1,1,0,1.868622,1.868622
sp77_216,1,1,0,1.001122,1.001122,0,0,0,NA,NA,1,1,0,1.001122,1.001122,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.001122,1.001122,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.001122,1.001122,0,0,0,NA,NA,1,1,0,1.001122,1.001122,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_305,1,1,0,1.022027,1.022027,0,0,0,NA,NA,1,1,0,1.022027,1.022027,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.022027,1.022027,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.022027,1.022027,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.022027,1.022027,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_309,2,0,2,0.1701379,0.9758285,2,0,2,0.1701379,0.9758285,2,0,2,0.1701379,0.9758285,2,0,2,0.1701379,0.9758285,0,0,0,NA,NA,0,0,0,NA,NA,2,0,2,0.1701379,0.9758285,2,0,2,0.1701379,0.9758285,1,0,1,0.1701379,0.1701379,1,0,1,0.1701379,0.1701379,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.9758285,0.9758285,1,0,1,0.9758285,0.9758285,2,0,2,0.1701379,0.9758285,2,0,2,0.1701379,0.9758285,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_314,4,0,4,0.2257246,0.979098,3,0,3,0.2257246,0.5510327,4,0,4,0.2257246,0.979098,3,0,3,0.2257246,0.5510327,0,0,0,NA,NA,0,0,0,NA,NA,4,0,4,0.2257246,0.979098,3,0,3,0.2257246,0.5510327,3,0,3,0.2257246,0.5510327,3,0,3,0.2257246,0.5510327,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.979098,0.979098,0,0,0,NA,NA,2,0,2,0.2257246,0.979098,1,0,1,0.2257246,0.2257246,1,0,1,0.2968399,0.2968399,1,0,1,0.2968399,0.2968399,1,0,1,0.5510327,0.5510327,1,0,1,0.5510327,0.5510327
sp77_315,4,0,4,0.6946881,0.9923576,1,0,1,0.9712557,0.9712557,4,0,4,0.6946881,0.9923576,1,0,1,0.9712557,0.9712557,0,0,0,NA,NA,0,0,0,NA,NA,4,0,4,0.6946881,0.9923576,1,0,1,0.9712557,0.9712557,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.6946881,0.6946881,0,0,0,NA,NA,3,0,3,0.9712557,0.9923576,1,0,1,0.9712557,0.9712557,1,0,1,0.9712557,0.9712557,1,0,1,0.9712557,0.9712557,1,0,1,0.9797144,0.9797144,0,0,0,NA,NA,2,0,2,0.6946881,0.9923576,0,0,0,NA,NA
sp77_400,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_401,1,0,1,0.9968503,0.9968503,0,0,0,NA,NA,1,0,1,0.9968503,0.9968503,0,0,0,NA,NA,1,0,1,0.9968503,0.9968503,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.9968503,0.9968503,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.9968503,0.9968503,0,0,0,NA,NA
sp77_402,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_403,6,6,0,1.009897,4.361107,2,2,0,1.009897,2.195485,6,6,0,1.009897,4.361107,2,2,0,1.009897,2.195485,1,1,0,4.361107,4.361107,0,0,0,NA,NA,5,5,0,1.009897,2.195485,2,2,0,1.009897,2.195485,3,3,0,1.425453,4.361107,0,0,0,NA,NA,2,2,0,1.729325,2.195485,1,1,0,2.195485,2.195485,1,1,0,1.009897,1.009897,1,1,0,1.009897,1.009897,4,4,0,1.009897,4.361107,2,2,0,1.009897,2.195485,2,2,0,1.425453,1.729325,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_403_1,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_403_2,4,4,0,1.019644,2.701002,2,2,0,1.019644,2.646716,4,4,0,1.019644,2.701002,2,2,0,1.019644,2.646716,0,0,0,NA,NA,0,0,0,NA,NA,4,4,0,1.019644,2.701002,2,2,0,1.019644,2.646716,3,3,0,1.409198,2.701002,1,1,0,2.646716,2.646716,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.019644,1.019644,1,1,0,1.019644,1.019644,2,2,0,1.019644,2.701002,1,1,0,1.019644,1.019644,1,1,0,2.646716,2.646716,1,1,0,2.646716,2.646716,1,1,0,1.409198,1.409198,0,0,0,NA,NA
sp77_404,1,0,1,0.9766864,0.9766864,0,0,0,NA,NA,1,0,1,0.9766864,0.9766864,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.9766864,0.9766864,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.9766864,0.9766864,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.9766864,0.9766864,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_405,1,1,0,2.580387,2.580387,0,0,0,NA,NA,1,1,0,2.580387,2.580387,0,0,0,NA,NA,1,1,0,2.580387,2.580387,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,2.580387,2.580387,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,2.580387,2.580387,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_408,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_409,1,0,1,0.6416511,0.6416511,0,0,0,NA,NA,1,0,1,0.6416511,0.6416511,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.6416511,0.6416511,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.6416511,0.6416511,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.6416511,0.6416511,0,0,0,NA,NA
sp77_410,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp77_411,9,0,9,0.0271066,0.9878235,5,0,5,0.0271066,0.9520885,9,0,9,0.0271066,0.9878235,5,0,5,0.0271066,0.9520885,6,0,6,0.0271066,0.9878235,3,0,3,0.0271066,0.9520885,3,0,3,0.5856032,0.986931,2,0,2,0.5856032,0.6898493,3,0,3,0.0271066,0.4419663,1,0,1,0.0271066,0.0271066,2,0,2,0.5856032,0.6898493,2,0,2,0.5856032,0.6898493,4,0,4,0.9468431,0.9878235,2,0,2,0.9468431,0.9520885,4,0,4,0.0320912,0.986931,2,0,2,0.6898493,0.9468431,3,0,3,0.0271066,0.9520885,3,0,3,0.0271066,0.9520885,2,0,2,0.4419663,0.9878235,0,0,0,NA,NA
sp77_412,1,1,0,1.389109,1.389109,0,0,0,NA,NA,1,1,0,1.389109,1.389109,0,0,0,NA,NA,1,1,0,1.389109,1.389109,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.389109,1.389109,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.389109,1.389109,0,0,0,NA,NA
