var,all_models_p_05,all_models_coef_pos_05,all_models_coef_neg_05,all_models_coef_min_05,all_models_coef_max_05,all_models_p_01,all_models_coef_pos_01,all_models_coef_neg_01,all_models_coef_min_01,all_models_coef_max_01,Y_models_p_05,Y_models_coef_pos_05,Y_models_coef_neg_05,Y_models_coef_min_05,Y_models_coef_max_05,Y_models_p_01,Y_models_coef_pos_01,Y_models_coef_neg_01,Y_models_coef_min_01,Y_models_coef_max_01,B_models_p_05,B_models_coef_pos_05,B_models_coef_neg_05,B_models_coef_min_05,B_models_coef_max_05,B_models_p_01,B_models_coef_pos_01,B_models_coef_neg_01,B_models_coef_min_01,B_models_coef_max_01,C_models_p_05,C_models_coef_pos_05,C_models_coef_neg_05,C_models_coef_min_05,C_models_coef_max_05,C_models_p_01,C_models_coef_pos_01,C_models_coef_neg_01,C_models_coef_min_01,C_models_coef_max_01,V_models_p_05,V_models_coef_pos_05,V_models_coef_neg_05,V_models_coef_min_05,V_models_coef_max_05,V_models_p_01,V_models_coef_pos_01,V_models_coef_neg_01,V_models_coef_min_01,V_models_coef_max_01,SSV_models_p_05,SSV_models_coef_pos_05,SSV_models_coef_neg_05,SSV_models_coef_min_05,SSV_models_coef_max_05,SSV_models_p_01,SSV_models_coef_pos_01,SSV_models_coef_neg_01,SSV_models_coef_min_01,SSV_models_coef_max_01,PP_models_p_05,PP_models_coef_pos_05,PP_models_coef_neg_05,PP_models_coef_min_05,PP_models_coef_max_05,PP_models_p_01,PP_models_coef_pos_01,PP_models_coef_neg_01,PP_models_coef_min_01,PP_models_coef_max_01,l1_models_p_05,l1_models_coef_pos_05,l1_models_coef_neg_05,l1_models_coef_min_05,l1_models_coef_max_05,l1_models_p_01,l1_models_coef_pos_01,l1_models_coef_neg_01,l1_models_coef_min_01,l1_models_coef_max_01,l2_models_p_05,l2_models_coef_pos_05,l2_models_coef_neg_05,l2_models_coef_min_05,l2_models_coef_max_05,l2_models_p_01,l2_models_coef_pos_01,l2_models_coef_neg_01,l2_models_coef_min_01,l2_models_coef_max_01,l3_models_p_05,l3_models_coef_pos_05,l3_models_coef_neg_05,l3_models_coef_min_05,l3_models_coef_max_05,l3_models_p_01,l3_models_coef_pos_01,l3_models_coef_neg_01,l3_models_coef_min_01,l3_models_coef_max_01
sp75_827,2,2,0,1.353547,1.459041,0,0,0,NA,NA,2,2,0,1.353547,1.459041,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.353547,1.459041,0,0,0,NA,NA,2,2,0,1.353547,1.459041,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.353547,1.353547,0,0,0,NA,NA,1,1,0,1.459041,1.459041,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp75_831,1,0,1,0.6876249,0.6876249,0,0,0,NA,NA,1,0,1,0.6876249,0.6876249,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.6876249,0.6876249,0,0,0,NA,NA,1,0,1,0.6876249,0.6876249,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.6876249,0.6876249,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp75_832,2,0,2,0.9554392,0.9601156,0,0,0,NA,NA,2,0,2,0.9554392,0.9601156,0,0,0,NA,NA,2,0,2,0.9554392,0.9601156,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,0,2,0.9554392,0.9601156,0,0,0,NA,NA,1,0,1,0.9601156,0.9601156,0,0,0,NA,NA,1,0,1,0.9554392,0.9554392,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp75_834,6,0,6,1.82e-10,0.695387,6,0,6,1.82e-10,0.695387,6,0,6,1.82e-10,0.695387,6,0,6,1.82e-10,0.695387,0,0,0,NA,NA,0,0,0,NA,NA,6,0,6,1.82e-10,0.695387,6,0,6,1.82e-10,0.695387,3,0,3,1.82e-10,0.0009681,3,0,3,1.82e-10,0.0009681,0,0,0,NA,NA,0,0,0,NA,NA,3,0,3,0.3729975,0.695387,3,0,3,0.3729975,0.695387,2,0,2,1.82e-10,0.3729975,2,0,2,1.82e-10,0.3729975,2,0,2,7.48e-10,0.4155678,2,0,2,7.48e-10,0.4155678,2,0,2,0.0009681,0.695387,2,0,2,0.0009681,0.695387
sp75_900,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp75_900_2,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp75_900_3,2,0,2,0.6167599,0.9890514,1,0,1,0.9890514,0.9890514,2,0,2,0.6167599,0.9890514,1,0,1,0.9890514,0.9890514,2,0,2,0.6167599,0.9890514,1,0,1,0.9890514,0.9890514,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.6167599,0.6167599,0,0,0,NA,NA,1,0,1,0.9890514,0.9890514,1,0,1,0.9890514,0.9890514,1,0,1,0.9890514,0.9890514,1,0,1,0.9890514,0.9890514,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.6167599,0.6167599,0,0,0,NA,NA
sp75_900_4,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp75_901,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp75_902,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
