var,all_models_p_05,all_models_coef_pos_05,all_models_coef_neg_05,all_models_coef_min_05,all_models_coef_max_05,all_models_p_01,all_models_coef_pos_01,all_models_coef_neg_01,all_models_coef_min_01,all_models_coef_max_01,var,Y_models_p_05,Y_models_coef_pos_05,Y_models_coef_neg_05,Y_models_coef_min_05,Y_models_coef_max_05,Y_models_p_01,Y_models_coef_pos_01,Y_models_coef_neg_01,Y_models_coef_min_01,Y_models_coef_max_01,var,Q_models_p_05,Q_models_coef_pos_05,Q_models_coef_neg_05,Q_models_coef_min_05,Q_models_coef_max_05,Q_models_p_01,Q_models_coef_pos_01,Q_models_coef_neg_01,Q_models_coef_min_01,Q_models_coef_max_01,var,B_models_p_05,B_models_coef_pos_05,B_models_coef_neg_05,B_models_coef_min_05,B_models_coef_max_05,B_models_p_01,B_models_coef_pos_01,B_models_coef_neg_01,B_models_coef_min_01,B_models_coef_max_01,var,C_models_p_05,C_models_coef_pos_05,C_models_coef_neg_05,C_models_coef_min_05,C_models_coef_max_05,C_models_p_01,C_models_coef_pos_01,C_models_coef_neg_01,C_models_coef_min_01,C_models_coef_max_01,var,V_models_p_05,V_models_coef_pos_05,V_models_coef_neg_05,V_models_coef_min_05,V_models_coef_max_05,V_models_p_01,V_models_coef_pos_01,V_models_coef_neg_01,V_models_coef_min_01,V_models_coef_max_01,var,SSV_models_p_05,SSV_models_coef_pos_05,SSV_models_coef_neg_05,SSV_models_coef_min_05,SSV_models_coef_max_05,SSV_models_p_01,SSV_models_coef_pos_01,SSV_models_coef_neg_01,SSV_models_coef_min_01,SSV_models_coef_max_01,var,PP_models_p_05,PP_models_coef_pos_05,PP_models_coef_neg_05,PP_models_coef_min_05,PP_models_coef_max_05,PP_models_p_01,PP_models_coef_pos_01,PP_models_coef_neg_01,PP_models_coef_min_01,PP_models_coef_max_01,var,l1_models_p_05,l1_models_coef_pos_05,l1_models_coef_neg_05,l1_models_coef_min_05,l1_models_coef_max_05,l1_models_p_01,l1_models_coef_pos_01,l1_models_coef_neg_01,l1_models_coef_min_01,l1_models_coef_max_01,var,l2_models_p_05,l2_models_coef_pos_05,l2_models_coef_neg_05,l2_models_coef_min_05,l2_models_coef_max_05,l2_models_p_01,l2_models_coef_pos_01,l2_models_coef_neg_01,l2_models_coef_min_01,l2_models_coef_max_01,var,l3_models_p_05,l3_models_coef_pos_05,l3_models_coef_neg_05,l3_models_coef_min_05,l3_models_coef_max_05,l3_models_p_01,l3_models_coef_pos_01,l3_models_coef_neg_01,l3_models_coef_min_01,l3_models_coef_max_01,var,l4_models_p_05,l4_models_coef_pos_05,l4_models_coef_neg_05,l4_models_coef_min_05,l4_models_coef_max_05,l4_models_p_01,l4_models_coef_pos_01,l4_models_coef_neg_01,l4_models_coef_min_01,l4_models_coef_max_01
sp47_41,13,2,11,0.0997729,1.015832,5,0,5,0.1707054,0.9965032,sp47_41,10,1,9,0.0997729,1.015832,4,0,4,0.1707054,0.9965032,sp47_41,3,1,2,0.4597224,1.003358,1,0,1,0.4597224,0.4597224,sp47_41,9,1,8,0.0997729,1.003358,4,0,4,0.1707054,0.9965032,sp47_41,4,1,3,0.4597224,1.015832,1,0,1,0.4597224,0.4597224,sp47_41,3,1,2,0.7239507,1.015832,0,0,0,NA,NA,sp47_41,6,0,6,0.0997729,0.815601,2,0,2,0.1707054,0.4597224,sp47_41,4,1,3,0.9900228,1.003358,3,0,3,0.9900228,0.9965032,sp47_41,3,0,3,0.1707054,0.9917926,2,0,2,0.1707054,0.9917926,sp47_41,3,0,3,0.0997729,0.9900228,2,0,2,0.4597224,0.9900228,sp47_41,5,0,5,0.4519099,0.9965032,1,0,1,0.9965032,0.9965032,sp47_41,2,2,0,1.003358,1.015832,0,0,0,NA,NA
sp47_42,13,0,13,0.3156617,0.9915098,2,0,2,0.3156617,0.7150533,sp47_42,7,0,7,0.3156617,0.9251635,2,0,2,0.3156617,0.7150533,sp47_42,6,0,6,0.4994072,0.9915098,0,0,0,NA,NA,sp47_42,7,0,7,0.3156617,0.9915098,1,0,1,0.3156617,0.3156617,sp47_42,6,0,6,0.6877339,0.990997,1,0,1,0.7150533,0.7150533,sp47_42,10,0,10,0.3156617,0.9251635,2,0,2,0.3156617,0.7150533,sp47_42,0,0,0,NA,NA,0,0,0,NA,NA,sp47_42,3,0,3,0.9826582,0.9915098,0,0,0,NA,NA,sp47_42,2,0,2,0.4807736,0.7988733,0,0,0,NA,NA,sp47_42,6,0,6,0.3156617,0.990997,2,0,2,0.3156617,0.7150533,sp47_42,2,0,2,0.7253387,0.9218245,0,0,0,NA,NA,sp47_42,3,0,3,0.7158657,0.9915098,0,0,0,NA,NA
sp47_43,4,3,1,0.3193148,2.590687,3,2,1,0.3193148,2.590687,sp47_43,1,1,0,2.07281,2.07281,0,0,0,NA,NA,sp47_43,3,2,1,0.3193148,2.590687,3,2,1,0.3193148,2.590687,sp47_43,0,0,0,NA,NA,0,0,0,NA,NA,sp47_43,4,3,1,0.3193148,2.590687,3,2,1,0.3193148,2.590687,sp47_43,4,3,1,0.3193148,2.590687,3,2,1,0.3193148,2.590687,sp47_43,0,0,0,NA,NA,0,0,0,NA,NA,sp47_43,0,0,0,NA,NA,0,0,0,NA,NA,sp47_43,2,2,0,2.07281,2.590687,1,1,0,2.590687,2.590687,sp47_43,0,0,0,NA,NA,0,0,0,NA,NA,sp47_43,1,1,0,2.044249,2.044249,1,1,0,2.044249,2.044249,sp47_43,1,0,1,0.3193148,0.3193148,1,0,1,0.3193148,0.3193148
sp47_44,8,2,6,8.45E-12,1.021547,3,0,3,8.45E-12,0.4887004,sp47_44,5,2,3,0.8168754,1.021547,0,0,0,NA,NA,sp47_44,3,0,3,8.45E-12,0.4887004,3,0,3,8.45E-12,0.4887004,sp47_44,3,2,1,4.83E-05,1.021547,1,0,1,4.83E-05,4.83E-05,sp47_44,5,0,5,8.45E-12,0.9781962,2,0,2,8.45E-12,0.4887004,sp47_44,2,0,2,0.9126616,0.9781962,0,0,0,NA,NA,sp47_44,4,0,4,8.45E-12,0.8168754,3,0,3,8.45E-12,0.4887004,sp47_44,2,2,0,1.008214,1.021547,0,0,0,NA,NA,sp47_44,2,0,2,8.45E-12,0.9126616,1,0,1,8.45E-12,8.45E-12,sp47_44,1,1,0,1.021547,1.021547,0,0,0,NA,NA,sp47_44,2,1,1,4.83E-05,1.008214,1,0,1,4.83E-05,4.83E-05,sp47_44,3,0,3,0.4887004,0.9781962,1,0,1,0.4887004,0.4887004
sp48_11,5,5,0,1.001492,1.175787,1,1,0,1.004114,1.004114,sp48_11,2,2,0,1.003618,1.175787,0,0,0,NA,NA,sp48_11,3,3,0,1.001492,1.005884,1,1,0,1.004114,1.004114,sp48_11,4,4,0,1.003618,1.175787,1,1,0,1.004114,1.004114,sp48_11,1,1,0,1.001492,1.001492,0,0,0,NA,NA,sp48_11,1,1,0,1.175787,1.175787,0,0,0,NA,NA,sp48_11,0,0,0,NA,NA,0,0,0,NA,NA,sp48_11,4,4,0,1.001492,1.005884,1,1,0,1.004114,1.004114,sp48_11,0,0,0,NA,NA,0,0,0,NA,NA,sp48_11,1,1,0,1.005884,1.005884,0,0,0,NA,NA,sp48_11,4,4,0,1.001492,1.175787,1,1,0,1.004114,1.004114,sp48_11,0,0,0,NA,NA,0,0,0,NA,NA
sp48_24,12,0,12,0.0044634,0.9777416,12,0,12,0.0044634,0.9777416,sp48_24,6,0,6,0.0098433,0.9777416,6,0,6,0.0098433,0.9777416,sp48_24,6,0,6,0.0044634,0.9372868,6,0,6,0.0044634,0.9372868,sp48_24,0,0,0,NA,NA,0,0,0,NA,NA,sp48_24,12,0,12,0.0044634,0.9777416,12,0,12,0.0044634,0.9777416,sp48_24,6,0,6,0.0044634,0.2414068,6,0,6,0.0044634,0.2414068,sp48_24,0,0,0,NA,NA,0,0,0,NA,NA,sp48_24,6,0,6,0.9338498,0.9777416,6,0,6,0.9338498,0.9777416,sp48_24,4,0,4,0.0044634,0.9404447,4,0,4,0.0044634,0.9404447,sp48_24,4,0,4,0.0065713,0.9457228,4,0,4,0.0065713,0.9457228,sp48_24,4,0,4,0.014408,0.9777416,4,0,4,0.014408,0.9777416,sp48_24,0,0,0,NA,NA,0,0,0,NA,NA
sp48_25,5,1,4,0.4633503,1.004166,3,1,2,0.4633503,1.004166,sp48_25,0,0,0,NA,NA,0,0,0,NA,NA,sp48_25,5,1,4,0.4633503,1.004166,3,1,2,0.4633503,1.004166,sp48_25,4,0,4,0.4633503,0.9896272,2,0,2,0.4633503,0.4978318,sp48_25,1,1,0,1.004166,1.004166,1,1,0,1.004166,1.004166,sp48_25,1,0,1,0.4978318,0.4978318,1,0,1,0.4978318,0.4978318,sp48_25,2,0,2,0.4633503,0.7975259,1,0,1,0.4633503,0.4633503,sp48_25,2,1,1,0.9896272,1.004166,1,1,0,1.004166,1.004166,sp48_25,3,0,3,0.4633503,0.9896272,2,0,2,0.4633503,0.4978318,sp48_25,1,1,0,1.004166,1.004166,1,1,0,1.004166,1.004166,sp48_25,1,0,1,0.7975259,0.7975259,0,0,0,NA,NA,sp48_25,0,0,0,NA,NA,0,0,0,NA,NA
sp48_26,21,21,0,1.000915,1.558588,10,10,0,1.000915,1.410473,sp48_26,10,10,0,1.000915,1.558588,4,4,0,1.000915,1.274434,sp48_26,11,11,0,1.00263,1.552026,6,6,0,1.00277,1.410473,sp48_26,8,8,0,1.00333,1.558588,2,2,0,1.274434,1.372057,sp48_26,13,13,0,1.000915,1.410473,8,8,0,1.000915,1.410473,sp48_26,6,6,0,1.046025,1.390663,2,2,0,1.148725,1.256908,sp48_26,9,9,0,1.072228,1.558588,5,5,0,1.072228,1.410473,sp48_26,6,6,0,1.000915,1.00333,3,3,0,1.000915,1.002863,sp48_26,6,6,0,1.002863,1.552026,3,3,0,1.002863,1.410473,sp48_26,3,3,0,1.002285,1.558588,0,0,0,NA,NA,sp48_26,9,9,0,1.000915,1.372057,7,7,0,1.000915,1.372057,sp48_26,3,3,0,1.00263,1.281908,0,0,0,NA,NA
sp48_27,4,4,0,1.000505,1.632331,0,0,0,NA,NA,sp48_27,2,2,0,1.000505,1.041334,0,0,0,NA,NA,sp48_27,2,2,0,1.142803,1.632331,0,0,0,NA,NA,sp48_27,1,1,0,1.632331,1.632331,0,0,0,NA,NA,sp48_27,3,3,0,1.000505,1.142803,0,0,0,NA,NA,sp48_27,1,1,0,1.632331,1.632331,0,0,0,NA,NA,sp48_27,2,2,0,1.041334,1.142803,0,0,0,NA,NA,sp48_27,1,1,0,1.000505,1.000505,0,0,0,NA,NA,sp48_27,0,0,0,NA,NA,0,0,0,NA,NA,sp48_27,1,1,0,1.632331,1.632331,0,0,0,NA,NA,sp48_27,0,0,0,NA,NA,0,0,0,NA,NA,sp48_27,3,3,0,1.000505,1.142803,0,0,0,NA,NA
sp48_28,5,0,5,0.8841101,0.998516,1,0,1,0.998516,0.998516,sp48_28,4,0,4,0.8841101,0.998516,1,0,1,0.998516,0.998516,sp48_28,1,0,1,0.9940209,0.9940209,0,0,0,NA,NA,sp48_28,3,0,3,0.8841101,0.9974301,0,0,0,NA,NA,sp48_28,2,0,2,0.9511926,0.998516,1,0,1,0.998516,0.998516,sp48_28,0,0,0,NA,NA,0,0,0,NA,NA,sp48_28,2,0,2,0.8841101,0.9511926,0,0,0,NA,NA,sp48_28,3,0,3,0.9940209,0.998516,1,0,1,0.998516,0.998516,sp48_28,0,0,0,NA,NA,0,0,0,NA,NA,sp48_28,0,0,0,NA,NA,0,0,0,NA,NA,sp48_28,0,0,0,NA,NA,0,0,0,NA,NA,sp48_28,5,0,5,0.8841101,0.998516,1,0,1,0.998516,0.998516
