var,all_models_p_05,all_models_coef_pos_05,all_models_coef_neg_05,all_models_coef_min_05,all_models_coef_max_05,all_models_p_01,all_models_coef_pos_01,all_models_coef_neg_01,all_models_coef_min_01,all_models_coef_max_01,var,Y_models_p_05,Y_models_coef_pos_05,Y_models_coef_neg_05,Y_models_coef_min_05,Y_models_coef_max_05,Y_models_p_01,Y_models_coef_pos_01,Y_models_coef_neg_01,Y_models_coef_min_01,Y_models_coef_max_01,var,Q_models_p_05,Q_models_coef_pos_05,Q_models_coef_neg_05,Q_models_coef_min_05,Q_models_coef_max_05,Q_models_p_01,Q_models_coef_pos_01,Q_models_coef_neg_01,Q_models_coef_min_01,Q_models_coef_max_01,var,B_models_p_05,B_models_coef_pos_05,B_models_coef_neg_05,B_models_coef_min_05,B_models_coef_max_05,B_models_p_01,B_models_coef_pos_01,B_models_coef_neg_01,B_models_coef_min_01,B_models_coef_max_01,var,C_models_p_05,C_models_coef_pos_05,C_models_coef_neg_05,C_models_coef_min_05,C_models_coef_max_05,C_models_p_01,C_models_coef_pos_01,C_models_coef_neg_01,C_models_coef_min_01,C_models_coef_max_01,var,V_models_p_05,V_models_coef_pos_05,V_models_coef_neg_05,V_models_coef_min_05,V_models_coef_max_05,V_models_p_01,V_models_coef_pos_01,V_models_coef_neg_01,V_models_coef_min_01,V_models_coef_max_01,var,SSV_models_p_05,SSV_models_coef_pos_05,SSV_models_coef_neg_05,SSV_models_coef_min_05,SSV_models_coef_max_05,SSV_models_p_01,SSV_models_coef_pos_01,SSV_models_coef_neg_01,SSV_models_coef_min_01,SSV_models_coef_max_01,var,PP_models_p_05,PP_models_coef_pos_05,PP_models_coef_neg_05,PP_models_coef_min_05,PP_models_coef_max_05,PP_models_p_01,PP_models_coef_pos_01,PP_models_coef_neg_01,PP_models_coef_min_01,PP_models_coef_max_01,var,l1_models_p_05,l1_models_coef_pos_05,l1_models_coef_neg_05,l1_models_coef_min_05,l1_models_coef_max_05,l1_models_p_01,l1_models_coef_pos_01,l1_models_coef_neg_01,l1_models_coef_min_01,l1_models_coef_max_01,var,l2_models_p_05,l2_models_coef_pos_05,l2_models_coef_neg_05,l2_models_coef_min_05,l2_models_coef_max_05,l2_models_p_01,l2_models_coef_pos_01,l2_models_coef_neg_01,l2_models_coef_min_01,l2_models_coef_max_01,var,l3_models_p_05,l3_models_coef_pos_05,l3_models_coef_neg_05,l3_models_coef_min_05,l3_models_coef_max_05,l3_models_p_01,l3_models_coef_pos_01,l3_models_coef_neg_01,l3_models_coef_min_01,l3_models_coef_max_01,var,l4_models_p_05,l4_models_coef_pos_05,l4_models_coef_neg_05,l4_models_coef_min_05,l4_models_coef_max_05,l4_models_p_01,l4_models_coef_pos_01,l4_models_coef_neg_01,l4_models_coef_min_01,l4_models_coef_max_01
sp48_4,14,10,4,1.50E-11,2.300916,12,8,4,1.50E-11,2.300916,sp48_4,7,7,0,1.004192,2.300916,5,5,0,1.004192,2.300916,sp48_4,7,3,4,1.50E-11,1.015433,7,3,4,1.50E-11,1.015433,sp48_4,1,1,0,1.011067,1.011067,1,1,0,1.011067,1.011067,sp48_4,13,9,4,1.50E-11,2.300916,11,7,4,1.50E-11,2.300916,sp48_4,4,2,2,1.50E-11,2.09626,3,1,2,1.50E-11,2.09626,sp48_4,3,2,1,1.40E-09,2.300916,2,1,1,1.40E-09,2.300916,sp48_4,7,6,1,0.7509148,1.015433,7,6,1,0.7509148,1.015433,sp48_4,2,2,0,1.012381,1.015433,2,2,0,1.012381,1.015433,sp48_4,6,3,3,1.50E-11,2.300916,6,3,3,1.50E-11,2.300916,sp48_4,5,5,0,1.004192,1.341712,3,3,0,1.004192,1.012677,sp48_4,1,0,1,8.67E-09,8.67E-09,1,0,1,8.67E-09,8.67E-09
sp48_5,1,1,0,1.042655,1.042655,0,0,0,NA,NA,sp48_5,1,1,0,1.042655,1.042655,0,0,0,NA,NA,sp48_5,0,0,0,NA,NA,0,0,0,NA,NA,sp48_5,0,0,0,NA,NA,0,0,0,NA,NA,sp48_5,1,1,0,1.042655,1.042655,0,0,0,NA,NA,sp48_5,1,1,0,1.042655,1.042655,0,0,0,NA,NA,sp48_5,0,0,0,NA,NA,0,0,0,NA,NA,sp48_5,0,0,0,NA,NA,0,0,0,NA,NA,sp48_5,0,0,0,NA,NA,0,0,0,NA,NA,sp48_5,0,0,0,NA,NA,0,0,0,NA,NA,sp48_5,0,0,0,NA,NA,0,0,0,NA,NA,sp48_5,1,1,0,1.042655,1.042655,0,0,0,NA,NA
sp48_6,5,1,4,0.4707787,1.031006,1,0,1,0.4707787,0.4707787,sp48_6,5,1,4,0.4707787,1.031006,1,0,1,0.4707787,0.4707787,sp48_6,0,0,0,NA,NA,0,0,0,NA,NA,sp48_6,4,0,4,0.4707787,0.7906188,1,0,1,0.4707787,0.4707787,sp48_6,1,1,0,1.031006,1.031006,0,0,0,NA,NA,sp48_6,1,0,1,0.7105472,0.7105472,0,0,0,NA,NA,sp48_6,4,1,3,0.4707787,1.031006,1,0,1,0.4707787,0.4707787,sp48_6,0,0,0,NA,NA,0,0,0,NA,NA,sp48_6,2,0,2,0.4707787,0.7105472,1,0,1,0.4707787,0.4707787,sp48_6,1,0,1,0.5524769,0.5524769,0,0,0,NA,NA,sp48_6,1,0,1,0.7906188,0.7906188,0,0,0,NA,NA,sp48_6,1,1,0,1.031006,1.031006,0,0,0,NA,NA
sp48_7,7,7,0,1.000589,1.198903,3,3,0,1.000589,1.148549,sp48_7,3,3,0,1.000589,1.158804,2,2,0,1.000589,1.058223,sp48_7,4,4,0,1.00112,1.198903,1,1,0,1.148549,1.148549,sp48_7,0,0,0,NA,NA,0,0,0,NA,NA,sp48_7,7,7,0,1.000589,1.198903,3,3,0,1.000589,1.148549,sp48_7,1,1,0,1.087094,1.087094,0,0,0,NA,NA,sp48_7,4,4,0,1.058223,1.198903,2,2,0,1.058223,1.148549,sp48_7,2,2,0,1.000589,1.00112,1,1,0,1.000589,1.000589,sp48_7,1,1,0,1.198903,1.198903,0,0,0,NA,NA,sp48_7,1,1,0,1.158804,1.158804,0,0,0,NA,NA,sp48_7,2,2,0,1.058223,1.148549,2,2,0,1.058223,1.148549,sp48_7,3,3,0,1.000589,1.087094,1,1,0,1.000589,1.000589
sp48_8,3,2,1,0.7868411,1.027818,0,0,0,NA,NA,sp48_8,1,1,0,1.027818,1.027818,0,0,0,NA,NA,sp48_8,2,1,1,0.7868411,1.004144,0,0,0,NA,NA,sp48_8,1,0,1,0.7868411,0.7868411,0,0,0,NA,NA,sp48_8,2,2,0,1.004144,1.027818,0,0,0,NA,NA,sp48_8,2,1,1,0.7868411,1.027818,0,0,0,NA,NA,sp48_8,0,0,0,NA,NA,0,0,0,NA,NA,sp48_8,1,1,0,1.004144,1.004144,0,0,0,NA,NA,sp48_8,1,1,0,1.004144,1.004144,0,0,0,NA,NA,sp48_8,0,0,0,NA,NA,0,0,0,NA,NA,sp48_8,0,0,0,NA,NA,0,0,0,NA,NA,sp48_8,2,1,1,0.7868411,1.027818,0,0,0,NA,NA
sp71_701,14,11,3,1.78E-12,8.566352,10,7,3,1.78E-12,8.566352,sp71_701,5,5,0,1.249266,3.088404,3,3,0,1.249266,2.592107,sp71_701,9,6,3,1.78E-12,8.566352,7,4,3,1.78E-12,8.566352,sp71_701,1,1,0,2.396416,2.396416,1,1,0,2.396416,2.396416,sp71_701,13,10,3,1.78E-12,8.566352,9,6,3,1.78E-12,8.566352,sp71_701,5,4,1,1.78E-12,4.050923,2,1,1,1.78E-12,4.050923,sp71_701,7,6,1,6.74E-11,8.566352,7,6,1,6.74E-11,8.566352,sp71_701,2,1,1,0.8140337,1.0129,1,0,1,0.8140337,0.8140337,sp71_701,4,1,3,1.78E-12,2.592107,4,1,3,1.78E-12,2.592107,sp71_701,5,5,0,1.0129,8.566352,3,3,0,2.378668,8.566352,sp71_701,5,5,0,1.249266,2.396416,3,3,0,1.249266,2.396416,sp71_701,0,0,0,NA,NA,0,0,0,NA,NA
sp72_503,9,0,9,0.3554265,0.9970582,2,0,2,0.9952741,0.9970582,sp72_503,4,0,4,0.3554265,0.9970582,1,0,1,0.9970582,0.9970582,sp72_503,5,0,5,0.6173822,0.9963786,1,0,1,0.9952741,0.9952741,sp72_503,4,0,4,0.3554265,0.9963786,1,0,1,0.9952741,0.9952741,sp72_503,5,0,5,0.6817566,0.9970582,1,0,1,0.9970582,0.9970582,sp72_503,1,0,1,0.9139629,0.9139629,0,0,0,NA,NA,sp72_503,4,0,4,0.3554265,0.9197197,0,0,0,NA,NA,sp72_503,4,0,4,0.9952741,0.9970582,2,0,2,0.9952741,0.9970582,sp72_503,3,0,3,0.3554265,0.9970582,1,0,1,0.9970582,0.9970582,sp72_503,1,0,1,0.9962972,0.9962972,0,0,0,NA,NA,sp72_503,1,0,1,0.9963786,0.9963786,0,0,0,NA,NA,sp72_503,4,0,4,0.6173822,0.9952741,1,0,1,0.9952741,0.9952741
sp72_610,2,0,2,2.98E-10,0.9947728,2,0,2,2.98E-10,0.9947728,sp72_610,1,0,1,0.9947728,0.9947728,1,0,1,0.9947728,0.9947728,sp72_610,1,0,1,2.98E-10,2.98E-10,1,0,1,2.98E-10,2.98E-10,sp72_610,0,0,0,NA,NA,0,0,0,NA,NA,sp72_610,2,0,2,2.98E-10,0.9947728,2,0,2,2.98E-10,0.9947728,sp72_610,0,0,0,NA,NA,0,0,0,NA,NA,sp72_610,1,0,1,2.98E-10,2.98E-10,1,0,1,2.98E-10,2.98E-10,sp72_610,1,0,1,0.9947728,0.9947728,1,0,1,0.9947728,0.9947728,sp72_610,0,0,0,NA,NA,0,0,0,NA,NA,sp72_610,1,0,1,2.98E-10,2.98E-10,1,0,1,2.98E-10,2.98E-10,sp72_610,0,0,0,NA,NA,0,0,0,NA,NA,sp72_610,1,0,1,0.9947728,0.9947728,1,0,1,0.9947728,0.9947728
sp72_620,9,9,0,1.001951,7.418437,3,3,0,1.010737,7.418437,sp72_620,5,5,0,1.001951,7.418437,3,3,0,1.010737,7.418437,sp72_620,4,4,0,1.005419,1.783844,0,0,0,NA,NA,sp72_620,2,2,0,1.05606,7.418437,2,2,0,1.05606,7.418437,sp72_620,7,7,0,1.001951,1.783844,1,1,0,1.010737,1.010737,sp72_620,3,3,0,1.311696,7.418437,1,1,0,7.418437,7.418437,sp72_620,2,2,0,1.539727,1.783844,0,0,0,NA,NA,sp72_620,4,4,0,1.001951,1.05606,2,2,0,1.010737,1.05606,sp72_620,1,1,0,1.783844,1.783844,0,0,0,NA,NA,sp72_620,4,4,0,1.010737,7.418437,3,3,0,1.010737,7.418437,sp72_620,4,4,0,1.001951,1.539727,0,0,0,NA,NA,sp72_620,0,0,0,NA,NA,0,0,0,NA,NA
sp72_630,7,5,2,0.982345,1.084638,2,1,1,0.982345,1.055516,sp72_630,1,0,1,0.9957177,0.9957177,0,0,0,NA,NA,sp72_630,6,5,1,0.982345,1.084638,2,1,1,0.982345,1.055516,sp72_630,1,1,0,1.084638,1.084638,0,0,0,NA,NA,sp72_630,6,4,2,0.982345,1.055516,2,1,1,0.982345,1.055516,sp72_630,1,1,0,1.029808,1.029808,0,0,0,NA,NA,sp72_630,5,3,2,0.982345,1.084638,2,1,1,0.982345,1.055516,sp72_630,1,1,0,1.000367,1.000367,0,0,0,NA,NA,sp72_630,0,0,0,NA,NA,0,0,0,NA,NA,sp72_630,4,4,0,1.000367,1.084638,1,1,0,1.055516,1.055516,sp72_630,1,1,0,1.021031,1.021031,0,0,0,NA,NA,sp72_630,2,0,2,0.982345,0.9957177,1,0,1,0.982345,0.982345
sp75_100,2,2,0,1.17345,1.290176,0,0,0,NA,NA,sp75_100,1,1,0,1.290176,1.290176,0,0,0,NA,NA,sp75_100,1,1,0,1.17345,1.17345,0,0,0,NA,NA,sp75_100,1,1,0,1.290176,1.290176,0,0,0,NA,NA,sp75_100,1,1,0,1.17345,1.17345,0,0,0,NA,NA,sp75_100,2,2,0,1.17345,1.290176,0,0,0,NA,NA,sp75_100,0,0,0,NA,NA,0,0,0,NA,NA,sp75_100,0,0,0,NA,NA,0,0,0,NA,NA,sp75_100,0,0,0,NA,NA,0,0,0,NA,NA,sp75_100,0,0,0,NA,NA,0,0,0,NA,NA,sp75_100,1,1,0,1.17345,1.17345,0,0,0,NA,NA,sp75_100,1,1,0,1.290176,1.290176,0,0,0,NA,NA
sp75_1001,6,3,3,0.1317534,1.335492,4,2,2,0.362633,1.335492,sp75_1001,3,2,1,0.1317534,1.335492,2,2,0,1.006222,1.335492,sp75_1001,3,1,2,0.362633,1.030268,2,0,2,0.362633,0.7140463,sp75_1001,3,1,2,0.1317534,1.335492,2,1,1,0.362633,1.335492,sp75_1001,3,2,1,0.7140463,1.030268,2,1,1,0.7140463,1.006222,sp75_1001,2,0,2,0.362633,0.7140463,2,0,2,0.362633,0.7140463,sp75_1001,2,1,1,0.1317534,1.335492,1,1,0,1.335492,1.335492,sp75_1001,2,2,0,1.006222,1.030268,1,1,0,1.006222,1.006222,sp75_1001,1,0,1,0.1317534,0.1317534,0,0,0,NA,NA,sp75_1001,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1001,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1001,5,3,2,0.362633,1.335492,4,2,2,0.362633,1.335492
sp75_1001_1,6,4,2,0.9261654,220.8705,5,4,1,0.9261654,220.8705,sp75_1001_1,4,3,1,0.9261654,220.8705,4,3,1,0.9261654,220.8705,sp75_1001_1,2,1,1,0.9952485,3.452319,1,1,0,3.452319,3.452319,sp75_1001_1,2,2,0,1.009292,220.8705,2,2,0,1.009292,220.8705,sp75_1001_1,4,2,2,0.9261654,3.452319,3,2,1,0.9261654,3.452319,sp75_1001_1,1,0,1,0.9261654,0.9261654,1,0,1,0.9261654,0.9261654,sp75_1001_1,3,3,0,1.603765,220.8705,3,3,0,1.603765,220.8705,sp75_1001_1,2,1,1,0.9952485,1.009292,1,1,0,1.009292,1.009292,sp75_1001_1,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1001_1,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1001_1,1,0,1,0.9952485,0.9952485,0,0,0,NA,NA,sp75_1001_1,5,4,1,0.9261654,220.8705,5,4,1,0.9261654,220.8705
sp75_1003_1,10,0,10,0.4465299,0.9972822,6,0,6,0.4465299,0.9972822,sp75_1003_1,5,0,5,0.4465299,0.9972822,3,0,3,0.4465299,0.9972822,sp75_1003_1,5,0,5,0.5473916,0.9935219,3,0,3,0.5473916,0.9935219,sp75_1003_1,0,0,0,NA,NA,0,0,0,NA,NA,sp75_1003_1,10,0,10,0.4465299,0.9972822,6,0,6,0.4465299,0.9972822,sp75_1003_1,1,0,1,0.5653727,0.5653727,0,0,0,NA,NA,sp75_1003_1,4,0,4,0.4465299,0.6371984,2,0,2,0.4465299,0.5473916,sp75_1003_1,5,0,5,0.9917637,0.9972822,4,0,4,0.9917637,0.9972822,sp75_1003_1,1,0,1,0.4465299,0.4465299,1,0,1,0.4465299,0.4465299,sp75_1003_1,4,0,4,0.5473916,0.9930161,1,0,1,0.5473916,0.5473916,sp75_1003_1,3,0,3,0.5694098,0.9972822,2,0,2,0.9917637,0.9972822,sp75_1003_1,2,0,2,0.9935219,0.9968688,2,0,2,0.9935219,0.9968688
