var,all_models_p_05,all_models_coef_pos_05,all_models_coef_neg_05,all_models_coef_min_05,all_models_coef_max_05,all_models_p_01,all_models_coef_pos_01,all_models_coef_neg_01,all_models_coef_min_01,all_models_coef_max_01,Y_models_p_05,Y_models_coef_pos_05,Y_models_coef_neg_05,Y_models_coef_min_05,Y_models_coef_max_05,Y_models_p_01,Y_models_coef_pos_01,Y_models_coef_neg_01,Y_models_coef_min_01,Y_models_coef_max_01,Q_models_p_05,Q_models_coef_pos_05,Q_models_coef_neg_05,Q_models_coef_min_05,Q_models_coef_max_05,Q_models_p_01,Q_models_coef_pos_01,Q_models_coef_neg_01,Q_models_coef_min_01,Q_models_coef_max_01,B_models_p_05,B_models_coef_pos_05,B_models_coef_neg_05,B_models_coef_min_05,B_models_coef_max_05,B_models_p_01,B_models_coef_pos_01,B_models_coef_neg_01,B_models_coef_min_01,B_models_coef_max_01,C_models_p_05,C_models_coef_pos_05,C_models_coef_neg_05,C_models_coef_min_05,C_models_coef_max_05,C_models_p_01,C_models_coef_pos_01,C_models_coef_neg_01,C_models_coef_min_01,C_models_coef_max_01,V_models_p_05,V_models_coef_pos_05,V_models_coef_neg_05,V_models_coef_min_05,V_models_coef_max_05,V_models_p_01,V_models_coef_pos_01,V_models_coef_neg_01,V_models_coef_min_01,V_models_coef_max_01,SSV_models_p_05,SSV_models_coef_pos_05,SSV_models_coef_neg_05,SSV_models_coef_min_05,SSV_models_coef_max_05,SSV_models_p_01,SSV_models_coef_pos_01,SSV_models_coef_neg_01,SSV_models_coef_min_01,SSV_models_coef_max_01,PP_models_p_05,PP_models_coef_pos_05,PP_models_coef_neg_05,PP_models_coef_min_05,PP_models_coef_max_05,PP_models_p_01,PP_models_coef_pos_01,PP_models_coef_neg_01,PP_models_coef_min_01,PP_models_coef_max_01,l1_models_p_05,l1_models_coef_pos_05,l1_models_coef_neg_05,l1_models_coef_min_05,l1_models_coef_max_05,l1_models_p_01,l1_models_coef_pos_01,l1_models_coef_neg_01,l1_models_coef_min_01,l1_models_coef_max_01,l2_models_p_05,l2_models_coef_pos_05,l2_models_coef_neg_05,l2_models_coef_min_05,l2_models_coef_max_05,l2_models_p_01,l2_models_coef_pos_01,l2_models_coef_neg_01,l2_models_coef_min_01,l2_models_coef_max_01,l3_models_p_05,l3_models_coef_pos_05,l3_models_coef_neg_05,l3_models_coef_min_05,l3_models_coef_max_05,l3_models_p_01,l3_models_coef_pos_01,l3_models_coef_neg_01,l3_models_coef_min_01,l3_models_coef_max_01,l4_models_p_05,l4_models_coef_pos_05,l4_models_coef_neg_05,l4_models_coef_min_05,l4_models_coef_max_05,l4_models_p_01,l4_models_coef_pos_01,l4_models_coef_neg_01,l4_models_coef_min_01,l4_models_coef_max_01
sp48_11,5,5,0,1.001055,1.475565,1,1,0,1.314144,1.314144,4,4,0,1.001055,1.314144,1,1,0,1.314144,1.314144,1,1,0,1.475565,1.475565,0,0,0,NA,NA,4,4,0,1.007255,1.475565,1,1,0,1.314144,1.314144,1,1,0,1.001055,1.001055,0,0,0,NA,NA,1,1,0,1.314144,1.314144,1,1,0,1.314144,1.314144,1,1,0,1.475565,1.475565,0,0,0,NA,NA,3,3,0,1.001055,1.047074,0,0,0,NA,NA,2,2,0,1.001055,1.047074,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,3,3,0,1.007255,1.475565,1,1,0,1.314144,1.314144,0,0,0,NA,NA,0,0,0,NA,NA
sp48_24,12,10,2,0.9377458,1.273026,12,10,2,0.9377458,1.273026,6,6,0,1.000539,1.108397,6,6,0,1.000539,1.108397,6,4,2,0.9377458,1.273026,6,4,2,0.9377458,1.273026,2,2,0,1.003431,1.273026,2,2,0,1.003431,1.273026,10,8,2,0.9377458,1.11084,10,8,2,0.9377458,1.11084,6,5,1,0.9377458,1.273026,6,5,1,0.9377458,1.273026,0,0,0,NA,NA,0,0,0,NA,NA,6,5,1,0.9991207,1.003431,6,5,1,0.9991207,1.003431,4,2,2,0.9377458,1.107367,4,2,2,0.9377458,1.107367,4,4,0,1.001516,1.11084,4,4,0,1.001516,1.11084,4,4,0,1.000539,1.273026,4,4,0,1.000539,1.273026,0,0,0,NA,NA,0,0,0,NA,NA
sp48_25,6,0,6,0.8462388,0.9995895,4,0,4,0.8564563,0.9694728,3,0,3,0.9629418,0.9995895,2,0,2,0.9629418,0.9694728,3,0,3,0.8462388,0.8831346,2,0,2,0.8564563,0.8831346,0,0,0,NA,NA,0,0,0,NA,NA,6,0,6,0.8462388,0.9995895,4,0,4,0.8564563,0.9694728,2,0,2,0.8831346,0.9694728,2,0,2,0.8831346,0.9694728,3,0,3,0.8462388,0.9629418,2,0,2,0.8564563,0.9629418,1,0,1,0.9995895,0.9995895,0,0,0,NA,NA,1,0,1,0.8462388,0.8462388,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,5,0,5,0.8564563,0.9995895,4,0,4,0.8564563,0.9694728
sp48_26,9,8,1,0.9970925,1.248783,2,1,1,0.9970925,1.040619,4,3,1,0.9970925,1.093545,2,1,1,0.9970925,1.040619,5,5,0,1.088698,1.248783,0,0,0,NA,NA,2,1,1,0.9970925,1.248783,1,0,1,0.9970925,0.9970925,7,7,0,1.000709,1.211762,1,1,0,1.040619,1.040619,3,3,0,1.040619,1.093545,1,1,0,1.040619,1.040619,4,4,0,1.121498,1.248783,0,0,0,NA,NA,2,1,1,0.9970925,1.000709,1,0,1,0.9970925,0.9970925,2,2,0,1.093545,1.211762,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,4,4,0,1.000709,1.121498,1,1,0,1.040619,1.040619,3,2,1,0.9970925,1.248783,1,0,1,0.9970925,0.9970925
sp48_27,1,1,0,1.025096,1.025096,0,0,0,NA,NA,1,1,0,1.025096,1.025096,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.025096,1.025096,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.025096,1.025096,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.025096,1.025096,0,0,0,NA,NA
sp48_28,6,0,6,0.965465,0.998118,0,0,0,NA,NA,3,0,3,0.965465,0.9979354,0,0,0,NA,NA,3,0,3,0.9941094,0.998118,0,0,0,NA,NA,1,0,1,0.9941094,0.9941094,0,0,0,NA,NA,5,0,5,0.965465,0.998118,0,0,0,NA,NA,1,0,1,0.9865191,0.9865191,0,0,0,NA,NA,1,0,1,0.965465,0.965465,0,0,0,NA,NA,4,0,4,0.9941094,0.998118,0,0,0,NA,NA,1,0,1,0.9979354,0.9979354,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,0,2,0.9941094,0.9980034,0,0,0,NA,NA,3,0,3,0.965465,0.998118,0,0,0,NA,NA
sp48_4,10,5,5,1.08e-08,2.177961,8,3,5,1.08e-08,2.177961,4,4,0,1.002492,2.177961,3,3,0,1.0098,2.177961,6,1,5,1.08e-08,1.003368,5,0,5,1.08e-08,0.9953624,0,0,0,NA,NA,0,0,0,NA,NA,10,5,5,1.08e-08,2.177961,8,3,5,1.08e-08,2.177961,3,1,2,1.08e-08,2.177961,3,1,2,1.08e-08,2.177961,2,1,1,0.504913,1.637673,2,1,1,0.504913,1.637673,5,3,2,0.993461,1.0098,3,1,2,0.993461,1.0098,3,0,3,0.468476,0.993461,3,0,3,0.468476,0.993461,4,3,1,0.9953624,2.177961,4,3,1,0.9953624,2.177961,2,2,0,1.002492,1.003368,0,0,0,NA,NA,1,0,1,1.08e-08,1.08e-08,1,0,1,1.08e-08,1.08e-08
sp48_5,2,2,0,1.218253,1.3716,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.218253,1.3716,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.218253,1.3716,0,0,0,NA,NA,1,1,0,1.218253,1.218253,0,0,0,NA,NA,1,1,0,1.3716,1.3716,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.218253,1.3716,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp48_6,3,0,3,0.5260277,0.7378662,0,0,0,NA,NA,1,0,1,0.5260277,0.5260277,0,0,0,NA,NA,2,0,2,0.6013791,0.7378662,0,0,0,NA,NA,3,0,3,0.5260277,0.7378662,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,3,0,3,0.5260277,0.7378662,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,0,1,0.5260277,0.5260277,0,0,0,NA,NA,1,0,1,0.6013791,0.6013791,0,0,0,NA,NA,1,0,1,0.7378662,0.7378662,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp48_7,10,7,3,0.9396033,2.697076,5,4,1,0.9965533,2.697076,4,2,2,0.9822937,2.697076,2,1,1,0.9965533,2.697076,6,5,1,0.9396033,2.061874,3,3,0,1.007938,2.061874,8,7,1,0.9965533,2.697076,5,4,1,0.9965533,2.697076,2,0,2,0.9396033,0.9822937,0,0,0,NA,NA,5,3,2,0.9396033,2.697076,2,2,0,1.975571,2.697076,1,1,0,2.061874,2.061874,1,1,0,2.061874,2.061874,4,3,1,0.9965533,1.011213,2,1,1,0.9965533,1.007938,5,5,0,1.007938,2.697076,4,4,0,1.007938,2.697076,1,1,0,1.52994,1.52994,0,0,0,NA,NA,1,1,0,1.003934,1.003934,0,0,0,NA,NA,3,0,3,0.9396033,0.9965533,1,0,1,0.9965533,0.9965533
